pubmed articles,sample_id
18048908,"['lp_0050', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_2991', 'lp_2943', 'lp_3050', 'lp_0373']"
24950021,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
25349156,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_2376', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
17657538,"['lp_0050', 'lp_1002', 'lp_2578', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
29037836,"['lp_0050', 'lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
23971028,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2945', 'lp_3050', 'lp_0373']"
29757072,"['lp_0775', 'lp_2486', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
27716231,"['lp_0789', 'lp_2578', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
18653299,"['lp_0050', 'lp_1002', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
21504147,"['lp_0050', 'lp_0600', 'lp_0775', 'lp_0789', 'lp_2578', 'lp_2991', 'lp_3014', 'lp_0796', 'lp_3050', 'lp_0373']"
25173466,"['lp_0050', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2631', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945']"
22156394,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_2943', 'lp_0373']"
17261521,"['lp_0050', 'lp_2578', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
15066807,"['lp_0172', 'lp_0173', 'lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
18194256,"['lp_0600', 'lp_0789', 'lp_2486', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2945', 'lp_0373']"
19566681,"['lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_3014', 'lp_3050', 'lp_0373']"
25175550,"['lp_0789', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
29573169,"['lp_0789', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
18044455,"['lp_1002', 'lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
25359406,"['lp_1002', 'lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
22621808,"['lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
18946701,"['lp_2714', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
27176608,"['lp_0600', 'lp_0789', 'lp_2578', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2945', 'lp_3050', 'lp_0373']"
18563659,"['lp_0600', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
19229842,"['lp_0600', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
18054106,"['lp_1002', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
19302495,"['lp_1002', 'lp_2486', 'lp_2631', 'lp_2714', 'lp_3059', 'lp_3127', 'lp_0796', 'lp_3050', 'lp_0373']"
26187828,"['lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
15817790,"['lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
16549665,"['lp_0050', 'lp_0600', 'lp_0775', 'lp_0789', 'lp_2714', 'lp_3014', 'lp_3050', 'lp_0373']"
24238744,"['lp_0050', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
25415663,"['lp_0050', 'lp_1002', 'lp_1760', 'lp_2631', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945']"
21796993,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_2578', 'lp_2714', 'lp_3014', 'lp_3050', 'lp_0373']"
22585750,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2376', 'lp_2991', 'lp_0373']"
21375718,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2376', 'lp_2991', 'lp_2943']"
